item,category
1,18
2,7
3,14
4,3
5,3
6,267
7,112
8,112
9,23
10,189
11,3
12,189
13,3
14,112
15,189
16,23
17,189
18,23
19,189
20,23
21,189
22,177
23,112
24,201
25,201
26,188
27,23
28,111
29,89
30,154
31,16
32,143
33,214
34,188
35,138
36,87
37,87
38,40
39,9
40,23
41,186
42,163
43,204
44,112
45,76
46,23
47,214
48,7
49,32
50,40
51,222
52,188
53,23
54,126
55,20
56,92
57,147
58,214
59,18
60,40
61,142
62,76
63,177
64,188
65,89
66,23
67,147
68,44
69,16
70,214
71,40
72,32
73,143
74,87
75,138
76,23
77,163
78,9
79,43
80,186
81,162
82,18
83,214
84,32
85,40
86,9
87,23
88,188
89,23
90,126
91,18
92,204
93,214
94,147
95,53
96,142
97,76
98,46
99,46
100,177
101,201
102,89
103,147
104,16
105,44
106,143
107,76
108,214
109,7
110,40
111,23
112,112
113,138
114,43
115,163
116,188
117,162
118,111
119,214
120,44
121,16
122,7
123,40
124,87
125,9
126,23
127,188
128,186
129,126
130,92
131,44
132,18
133,142
134,76
135,46
136,177
137,188
138,23
139,201
140,18
141,214
142,143
143,112
144,112
145,40
146,138
147,23
148,163
149,43
150,188
151,147
152,112
153,44
154,44
155,111
156,214
157,16
158,32
159,126
160,9
161,18
162,3
163,23
164,186
165,92
166,18
167,76
168,278
169,76
170,142
171,177
172,89
173,40
174,46
175,188
176,89
177,23
178,20
179,18
180,44
181,147
182,142
183,40
184,138
185,201
186,23
187,188
188,23
189,23
190,89
191,16
192,154
193,111
194,214
195,32
196,40
197,163
198,9
199,87
200,138
201,23
202,278
203,186
204,23
205,142
206,76
207,7
208,188
209,177
210,46
211,40
212,20
213,188
214,23
215,126
216,92
217,18
218,147
219,214
220,142
221,162
222,152
223,20
224,27
225,111
226,53
227,278
228,66
229,222
230,20
231,27
232,27
233,53
234,189
235,278
236,111
237,278
238,66
239,18
240,53
241,111
242,278
243,111
244,53
245,278
246,51
247,20
248,278
249,66
250,53
251,18
252,27
253,53
254,111
255,51
256,66
257,43
258,20
259,20
260,27
261,53
262,111
263,51
264,51
265,278
266,66
267,3
268,278
269,267
270,278
271,3
272,277
273,7
274,3
275,7
276,7
277,112
278,73
279,73
280,73
281,272
282,272
283,272
284,272
285,272
286,272
287,272
288,272
289,272
290,277
291,290
292,290
293,272
294,277
295,290
296,294
